League,Year,Code,Team,Total_Salary
mlb,2021,CHC,Chicago Cubs,144037170
mlb,2021,CHW,Chicago White Sox,140926169
mlb,2021,CIN,Cincinnati Reds,126587447
mlb,2021,CLE,Cleveland Indians,50670534
mlb,2021,COL,Colorado Rockies,116408966
mlb,2021,DET,Detroit Tigers,86348945
mlb,2021,HOU,Houston Astros,194222042
mlb,2021,KC,Kansas City Royals,91595545
mlb,2021,LAA,Los Angeles Angels,183849560
mlb,2021,LAD,Los Angeles Dodgers,266020809
mlb,2021,MIA,Miami Marlins,58157900
mlb,2021,MIL,Milwaukee Brewers,99377415
mlb,2021,MIN,Minnesota Twins,120084606
mlb,2021,NYM,New York Mets,201189189
mlb,2021,NYY,New York Yankees,205669863
mlb,2021,OAK,Oakland Athletics,90400598
mlb,2021,PHI,Philadelphia Phillies,197263223
mlb,2021,PIT,Pittsburgh Pirates,54356609
mlb,2021,SD,San Diego Padres,179764272
mlb,2021,SF,San Francisco Giants,171890308
mlb,2021,SEA,Seattle Mariners,83822113
mlb,2021,STL,St. Louis Cardinals,151469994
mlb,2021,TB,Tampa Bay Rays,70836327
mlb,2021,TEX,Texas Rangers,95788819
mlb,2021,TOR,Toronto Blue Jays,150140253
mlb,2021,WAS,Washington Nationals,144415187
mlb,2022,ARI,Arizona Diamondbacks,85964090
mlb,2022,ATL,Atlanta Braves,183438888
mlb,2022,BAL,Baltimore Orioles,44888388
mlb,2022,BOS,Boston Red Sox,211812131
mlb,2022,CHC,Chicago Cubs,151054737
mlb,2022,CHW,Chicago White Sox,203205326
mlb,2022,CIN,Cincinnati Reds,115467321
mlb,2022,CLE,Cleveland Guardians,66477492
mlb,2022,COL,Colorado Rockies,140012218
mlb,2022,DET,Detroit Tigers,136287588
mlb,2022,HOU,Houston Astros,183791796
mlb,2022,KC,Kansas City Royals,92613711
mlb,2022,LAA,Los Angeles Angels,179877811
mlb,2022,LAD,Los Angeles Dodgers,270381426
mlb,2022,MIA,Miami Marlins,82954422
mlb,2022,MIL,Milwaukee Brewers,130769325
mlb,2022,MIN,Minnesota Twins,149030158
mlb,2022,NYM,New York Mets,268292506
mlb,2022,NYY,New York Yankees,236098989
mlb,2022,OAK,Oakland Athletics,48443900
mlb,2022,PHI,Philadelphia Phillies,244484097
mlb,2022,PIT,Pittsburgh Pirates,56184032
mlb,2022,SD,San Diego Padres,224511694
mlb,2022,SF,San Francisco Giants,162453046
mlb,2022,SEA,Seattle Mariners,115838907
mlb,2022,STL,St. Louis Cardinals,156428325
mlb,2022,TB,Tampa Bay Rays,98342073
mlb,2022,TEX,Texas Rangers,150037446
mlb,2022,TOR,Toronto Blue Jays,177071670
mlb,2022,WAS,Washington Nationals,126809535
mls,2018,ATL,Atlanta United FC,9773612
mls,2018,CHI,Chicago Fire,13209392
mls,2018,COL,Colorado Rapids,10540637
mls,2018,CLB,Columbus Crew,6999423
mls,2018,DC,D.C. United,8865513
mls,2018,CIN,FC Cincinnati,2057576
mls,2018,DAL,FC Dallas,8176794
mls,2018,HOU,Houston Dynamo,5304148
mls,2018,LA,LA Galaxy,16976812
mls,2018,LAFC,Los Angeles FC,14166738
mls,2018,MIN,Minnesota United FC,8290505
mls,2018,MTL,Montreal Impact,11768066
mls,2018,NE,New England Revolution,7806034
mls,2018,NYC,New York City FC,14053171
mls,2018,NY,New York Red Bulls,7336534
mls,2018,ORL,Orlando City,7719087
mls,2018,PHI,Philadelphia Union,8072129
mls,2018,POR,Portland Timbers,10164053
mls,2018,RSL,Real Salt Lake,8729424
mls,2018,SJ,San Jose Earthquakes,7508343
mls,2018,SEA,Seattle Sounders FC,12787745
mls,2018,SKC,Sporting Kansas City,9655576
mls,2018,TOR,Toronto FC,25747264
mls,2018,VAN,Vancouver Whitecaps FC,7178880
mls,2019,ATL,Atlanta United FC,11485111
mls,2019,CHI,Chicago Fire,16073705
mls,2019,COL,Colorado Rapids,8036215
mls,2019,CLB,Columbus Crew,10049306
mls,2019,DC,D.C. United,10414746
mls,2019,CIN,FC Cincinnati,9488759
mls,2019,DAL,FC Dallas,7466944
mls,2019,HOU,Houston Dynamo,7602582
mls,2019,LA,LA Galaxy,17724081
mls,2019,LAFC,Los Angeles FC,13338959
mls,2019,MIN,Minnesota United FC,8222686
mls,2019,MTL,Montreal Impact,11470278
mls,2019,NSH,Nashville SC,172296
mls,2019,NE,New England Revolution,8182996
mls,2019,NYC,New York City FC,9542039
mls,2019,NY,New York Red Bulls,7486025
mls,2019,ORL,Orlando City,10684789
mls,2019,PHI,Philadelphia Union,8459186
mls,2019,POR,Portland Timbers,11105358
mls,2019,RSL,Real Salt Lake,9940119
mls,2019,SJ,San Jose Earthquakes,8121656
mls,2019,SEA,Seattle Sounders FC,12054716
mls,2019,SKC,Sporting Kansas City,12080510
mls,2019,TOR,Toronto FC,21244519
mls,2019,VAN,Vancouver Whitecaps FC,5807495
mls,2020,ATL,Atlanta United FC,13184580
mls,2020,CHI,Chicago Fire,11472125
mls,2020,COL,Colorado Rapids,6120394
mls,2020,CLB,Columbus Crew,12384982
mls,2020,DC,D.C. United,8068092
mls,2020,CIN,FC Cincinnati,12016445
mls,2020,DAL,FC Dallas,10090541
mls,2020,HOU,Houston Dynamo,8870968
mls,2020,MIA,Inter Miami FC,13086521
mls,2020,LA,LA Galaxy,16811192
mls,2020,LAFC,Los Angeles FC,12899502
mls,2020,MIN,Minnesota United FC,9002470
mls,2020,MTL,Montreal Impact,10641859
mls,2020,NSH,Nashville SC,8063650
mls,2020,NE,New England Revolution,11447878
mls,2020,NYC,New York City FC,12187832
mls,2020,NY,New York Red Bulls,7050054
mls,2020,ORL,Orlando City,10003461
mls,2020,PHI,Philadelphia Union,8516499
mls,2020,POR,Portland Timbers,11443295
mls,2020,RSL,Real Salt Lake,9254828
mls,2020,SJ,San Jose Earthquakes,9874989
mls,2020,SEA,Seattle Sounders FC,12412500
mls,2020,SKC,Sporting Kansas City,12807584
mls,2020,TOR,Toronto FC,18528776
mls,2020,VAN,Vancouver Whitecaps FC,7639268
mls,2021,ATL,Atlanta United FC,18826032
mls,2021,ATX,Austin FC,11751103
mls,2021,MTL,CF Montreal,11186772
mls,2021,CHI,Chicago Fire,13002668
mls,2021,COL,Colorado Rapids,8820038
mls,2021,CLB,Columbus Crew,12557305
mls,2021,DC,D.C. United,10574323
mls,2021,CIN,FC Cincinnati,14082405
mls,2021,DAL,FC Dallas,10506289
mls,2021,HOU,Houston Dynamo,10573227
mls,2021,MIA,Inter Miami FC,16525292
mls,2021,LA,LA Galaxy,17839427
mls,2021,LAFC,Los Angeles FC,14189716
mls,2021,MIN,Minnesota United FC,11527572
mls,2021,NSH,Nashville SC,10315124
mls,2021,NE,New England Revolution,10507615
mls,2021,NYC,New York City FC,13760924
mls,2021,NY,New York Red Bulls,9036175
mls,2021,ORL,Orlando City,10828754
mls,2021,PHI,Philadelphia Union,8919596
mls,2021,POR,Portland Timbers,10417198
mls,2021,RSL,Real Salt Lake,10307956
mls,2021,SJ,San Jose Earthquakes,9716050
mls,2021,SEA,Seattle Sounders FC,12742519
mls,2021,SKC,Sporting Kansas City,12387795
mls,2021,TOR,Toronto FC,15513555
mls,2021,VAN,Vancouver Whitecaps FC,10507728
mls,2022,ATL,Atlanta United FC,18072906
mls,2022,ATX,Austin FC,15081027
mls,2022,MTL,CF Montreal,11752370
mls,2022,CLT,Charlotte FC,10919686
mls,2022,CHI,Chicago Fire,17787877
mls,2022,COL,Colorado Rapids,10483345
mls,2022,CLB,Columbus Crew,16110506
mls,2022,DC,D.C. United,16079608
mls,2022,CIN,FC Cincinnati,13437446
mls,2022,DAL,FC Dallas,13778280
mls,2022,HOU,Houston Dynamo,15899836
mls,2022,MIA,Inter Miami FC,17680936
mls,2022,LA,LA Galaxy,22827019
mls,2022,LAFC,Los Angeles FC,20451014
mls,2022,TEMP,MLS,1333333
mls,2022,MIN,Minnesota United FC,10284693
mls,2022,NSH,Nashville SC,10897348
mls,2022,NE,New England Revolution,15522060
mls,2022,NYC,New York City FC,11925850
mls,2022,NY,New York Red Bulls,11701891
mls,2022,ORL,Orlando City,11162418
mls,2022,PHI,Philadelphia Union,10657333
mls,2022,POR,Portland Timbers,10438560
mls,2022,RSL,Real Salt Lake,11470686
mls,2022,SJ,San Jose Earthquakes,11039654
mls,2022,SEA,Seattle Sounders FC,16121352
mls,2022,SKC,Sporting Kansas City,14834978
mls,2022,TOR,Toronto FC,33241969
mls,2022,VAN,Vancouver Whitecaps FC,12440827
nba,2020,ATL,Atlanta Hawks,116695055
nba,2020,BOS,Boston Celtics,130767745
nba,2020,BKN,Brooklyn Nets,168550487
nba,2020,CHA,Charlotte Hornets,107134070
nba,2020,CHI,Chicago Bulls,128065350
nba,2020,CLE,Cleveland Cavaliers,126527288
nba,2020,DAL,Dallas Mavericks,125815404
nba,2020,DEN,Denver Nuggets,131820534
nba,2020,DET,Detroit Pistons,115013466
nba,2020,GS,Golden State Warriors,175825052
nba,2020,HOU,Houston Rockets,129533390
nba,2020,IND,Indiana Pacers,129005732
nba,2020,LAC,LA Clippers,137405301
nba,2020,LAL,Los Angeles Lakers,138544305
nba,2020,MEM,Memphis Grizzlies,134245326
nba,2020,MIA,Miami Heat,135572405
nba,2020,MIL,Milwaukee Bucks,133224345
nba,2020,MIN,Minnesota Timberwolves,159195461
nba,2020,NO,New Orleans Pelicans,132616252
nba,2020,NY,New York Knicks,101969879
nba,2020,OKC,Oklahoma City Thunder,104570165
nba,2020,ORL,Orlando Magic,118898403
nba,2020,PHI,Philadelphia 76ers,147787869
nba,2020,PHX,Phoenix Suns,130285572
nba,2020,POR,Portland Trail Blazers,135448164
nba,2020,SAC,Sacramento Kings,115582515
nba,2020,SA,San Antonio Spurs,150150620
nba,2020,TOR,Toronto Raptors,143726386
nba,2020,UTAH,Utah Jazz,138998838
nba,2020,WSH,Washington Wizards,160772292
nba,2021,ATL,Atlanta Hawks,132773339
nba,2021,BOS,Boston Celtics,135425801
nba,2021,BKN,Brooklyn Nets,172820410
nba,2021,CHA,Charlotte Hornets,120990744
nba,2021,CHI,Chicago Bulls,136118673
nba,2021,CLE,Cleveland Cavaliers,133138401
nba,2021,DAL,Dallas Mavericks,146734486
nba,2021,DEN,Denver Nuggets,138963942
nba,2021,DET,Detroit Pistons,128989131
nba,2021,GS,Golden State Warriors,184024769
nba,2021,HOU,Houston Rockets,132065764
nba,2021,IND,Indiana Pacers,136089712
nba,2021,LAC,LA Clippers,166162398
nba,2021,LAL,Los Angeles Lakers,160861720
nba,2021,MEM,Memphis Grizzlies,115994102
nba,2021,MIA,Miami Heat,138804919
nba,2021,MIL,Milwaukee Bucks,160663369
nba,2021,MIN,Minnesota Timberwolves,165734220
nba,2021,NO,New Orleans Pelicans,134663536
nba,2021,NY,New York Knicks,118396240
nba,2021,OKC,Oklahoma City Thunder,90513233
nba,2021,ORL,Orlando Magic,128481240
nba,2021,PHI,Philadelphia 76ers,156429129
nba,2021,PHX,Phoenix Suns,133742329
nba,2021,POR,Portland Trail Blazers,129526823
nba,2021,SAC,Sacramento Kings,132576503
nba,2021,SA,San Antonio Spurs,126419926
nba,2021,TOR,Toronto Raptors,149439621
nba,2021,UTAH,Utah Jazz,145969091
nba,2021,WSH,Washington Wizards,155635311
nba,2022,ATL,Atlanta Hawks,149133740
nba,2022,BOS,Boston Celtics,176795764
nba,2022,BKN,Brooklyn Nets,166975123
nba,2022,CHA,Charlotte Hornets,146049640
nba,2022,CHI,Chicago Bulls,153093665
nba,2022,CLE,Cleveland Cavaliers,154561446
nba,2022,DAL,Dallas Mavericks,180090371
nba,2022,DEN,Denver Nuggets,169601210
nba,2022,DET,Detroit Pistons,127673493
nba,2022,GS,Golden State Warriors,199320856
nba,2022,HOU,Houston Rockets,138296534
nba,2022,IND,Indiana Pacers,123981439
nba,2022,LAC,LA Clippers,193025394
nba,2022,LAL,Los Angeles Lakers,180067292
nba,2022,MEM,Memphis Grizzlies,127756781
nba,2022,MIA,Miami Heat,152766041
nba,2022,MIL,Milwaukee Bucks,181849255
nba,2022,MIN,Minnesota Timberwolves,174906722
nba,2022,NO,New Orleans Pelicans,154090191
nba,2022,NY,New York Knicks,150263571
nba,2022,OKC,Oklahoma City Thunder,155437627
nba,2022,ORL,Orlando Magic,138311945
nba,2022,PHI,Philadelphia 76ers,164391836
nba,2022,PHX,Phoenix Suns,175806777
nba,2022,POR,Portland Trail Blazers,151480955
nba,2022,SAC,Sacramento Kings,154815256
nba,2022,SA,San Antonio Spurs,101549048
nba,2022,TOR,Toronto Raptors,149260166
nba,2022,UTAH,Utah Jazz,147162541
nba,2022,WSH,Washington Wizards,183801576
nfl,2020,ARI,Arizona Cardinals,194162965
nfl,2020,ATL,Atlanta Falcons,199335990
nfl,2020,BAL,Baltimore Ravens,190989245
nfl,2020,BUF,Buffalo Bills,218228694
nfl,2020,CAR,Carolina Panthers,204039300
nfl,2020,CHI,Chicago Bears,204713154
nfl,2020,CIN,Cincinnati Bengals,197637354
nfl,2020,CLE,Cleveland Browns,199101772
nfl,2020,DAL,Dallas Cowboys,191282501
nfl,2020,DEN,Denver Broncos,195780141
nfl,2020,DET,Detroit Lions,201274115
nfl,2020,GB,Green Bay Packers,199876795
nfl,2020,HOU,Houston Texans,210781361
nfl,2020,IND,Indianapolis Colts,231385518
nfl,2020,JAX,Jacksonville Jaguars,184288252
nfl,2020,KC,Kansas City Chiefs,216749367
nfl,2020,LV,Las Vegas Raiders,214145655
nfl,2020,LAC,Los Angeles Chargers,195831096
nfl,2020,LAR,Los Angeles Rams,196611667
nfl,2020,MIA,Miami Dolphins,202755153
nfl,2020,MIN,Minnesota Vikings,195029407
nfl,2020,NE,New England Patriots,186649624
nfl,2020,NO,New Orleans Saints,194082268
nfl,2020,NYG,New York Giants,192619204
nfl,2020,NYJ,New York Jets,182498749
nfl,2020,PHI,Philadelphia Eagles,200593459
nfl,2020,PIT,Pittsburgh Steelers,194669953
nfl,2020,SF,San Francisco 49ers,202659073
nfl,2020,SEA,Seattle Seahawks,200893810
nfl,2020,TB,Tampa Bay Buccaneers,199841623
nfl,2020,TEN,Tennessee Titans,216614008
nfl,2020,WSH,Washington Football Team,193135405
nfl,2021,ARI,Arizona Cardinals,191127625
nfl,2021,ATL,Atlanta Falcons,185499791
nfl,2021,BAL,Baltimore Ravens,182781957
nfl,2021,BUF,Buffalo Bills,187735198
nfl,2021,CAR,Carolina Panthers,181771931
nfl,2021,CHI,Chicago Bears,188749384
nfl,2021,CIN,Cincinnati Bengals,191286587
nfl,2021,CLE,Cleveland Browns,202441273
nfl,2021,DAL,Dallas Cowboys,205327031
nfl,2021,DEN,Denver Broncos,188343846
nfl,2021,DET,Detroit Lions,196592545
nfl,2021,GB,Green Bay Packers,181317830
nfl,2021,HOU,Houston Texans,186825534
nfl,2021,IND,Indianapolis Colts,187317746
nfl,2021,JAX,Jacksonville Jaguars,180473269
nfl,2021,KC,Kansas City Chiefs,185112146
nfl,2021,LV,Las Vegas Raiders,189930974
nfl,2021,LAC,Los Angeles Chargers,183047309
nfl,2021,LAR,Los Angeles Rams,184237455
nfl,2021,MIA,Miami Dolphins,195163942
nfl,2021,MIN,Minnesota Vikings,188620675
nfl,2021,NE,New England Patriots,200573159
nfl,2021,NO,New Orleans Saints,185212258
nfl,2021,NYG,New York Giants,182521051
nfl,2021,NYJ,New York Jets,205736640
nfl,2021,PHI,Philadelphia Eagles,189181452
nfl,2021,PIT,Pittsburgh Steelers,175907130
nfl,2021,SF,San Francisco 49ers,195101014
nfl,2021,SEA,Seattle Seahawks,172703125
nfl,2021,TB,Tampa Bay Buccaneers,181119199
nfl,2021,TEN,Tennessee Titans,184416734
nfl,2021,WSH,Washington Football Team,193566718
nfl,2022,ARI,Arizona Cardinals,204903998
nfl,2022,ATL,Atlanta Falcons,202265825
nfl,2022,BAL,Baltimore Ravens,204617520
nfl,2022,BUF,Buffalo Bills,206691460
nfl,2022,CAR,Carolina Panthers,202249051
nfl,2022,CHI,Chicago Bears,204696905
nfl,2022,CIN,Cincinnati Bengals,210200068
nfl,2022,CLE,Cleveland Browns,186513983
nfl,2022,DAL,Dallas Cowboys,215338768
nfl,2022,DEN,Denver Broncos,210892216
nfl,2022,DET,Detroit Lions,214423875
nfl,2022,GB,Green Bay Packers,211925991
nfl,2022,HOU,Houston Texans,212666643
nfl,2022,IND,Indianapolis Colts,205811217
nfl,2022,JAX,Jacksonville Jaguars,231233180
nfl,2022,KC,Kansas City Chiefs,205249141
nfl,2022,LV,Las Vegas Raiders,199666719
nfl,2022,LAC,Los Angeles Chargers,212129671
nfl,2022,LAR,Los Angeles Rams,200270156
